antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.04173745173745174,0.03864864864864865,0.02494208494208494,0.5975948196114708,15.46224358435274,0.02332898883439424,2.389013358185771,0.9760647895718563
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03864864864864865,0.04173745173745174,0.02494208494208494,0.6453546453546453,15.46224358435274,0.02332898883439424,2.702030452988199,0.9729287124938313
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.04173745173745174,0.03084942084942085,0.018416988416988418,0.4412580943570768,14.303610317707497,0.017129412203157376,1.734522808049298,0.970597862275495
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03084942084942085,0.04173745173745174,0.018416988416988418,0.5969962453066333,14.303610317707495,0.017129412203157376,2.377800546775702,0.9596935717228601
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.029343629343629343,0.04054054054054054,0.020308880308880308,0.6921052631578947,17.0719298245614,0.019119273713868307,3.1161931161931156,0.9698842376229238
frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.04054054054054054,0.029343629343629343,0.020308880308880308,0.5009523809523809,17.0719298245614,0.019119273713868307,1.94501753662059,0.9812028061907566
frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.04054054054054054,0.034517374517374515,0.019691119691119693,0.4857142857142857,14.071588366890381,0.01829176667014505,1.8773273273273277,0.9681855840927922
frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.034517374517374515,0.04054054054054054,0.019691119691119693,0.5704697986577182,14.071588366890381,0.01829176667014505,2.2337415540540544,0.962145555654878
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.033204633204633204,0.03505791505791506,0.020772200772200773,0.6255813953488373,17.844227025919476,0.019608115561783518,2.5771745125782397,0.9763797997553357
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.03505791505791506,0.033204633204633204,0.020772200772200773,0.5925110132158591,17.844227025919476,0.019608115561783518,2.3725680893248464,0.9782550490506405
frozenset({'DOTCOM POSTAGE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.027374517374517373,0.08243243243243244,0.018725868725868726,0.6840620592383639,8.29845776780966,0.016469320672023374,2.904265202702703,0.9042490629323923
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'DOTCOM POSTAGE'}),0.08243243243243244,0.027374517374517373,0.018725868725868726,0.2271662763466042,8.29845776780966,0.016469320672023374,1.2585184275184276,0.9585078116696779
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.029536679536679537,0.03567567567567568,0.021196911196911198,0.7176470588235294,20.11586452762923,0.020143170197224253,3.4153153153153153,0.9792106232899718
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.03567567567567568,0.029536679536679537,0.021196911196911198,0.5941558441558441,20.11586452762923,0.020143170197224253,2.3912216216216216,0.9854443872675145
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.030926640926640925,0.04081081081081081,0.024864864864864864,0.8039950062421972,19.70053988805384,0.023602723572993842,4.893697710449302,0.9795336554201881
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04081081081081081,0.030926640926640925,0.024864864864864864,0.609271523178808,19.70053988805384,0.023602723572993842,2.480170800340292,0.9896274692022423
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.04081081081081081,0.08374517374517375,0.02,0.4900662251655629,5.851874242410364,0.016582291557967234,1.7968114125256984,0.864391078676793
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.08374517374517375,0.04081081081081081,0.02,0.2388197325956662,5.851874242410363,0.016582291557967234,1.260134071078953,0.9048951821485639
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.043243243243243246,0.04081081081081081,0.03027027027027027,0.7,17.1523178807947,0.0285054784514244,3.197297297297297,0.9842615012106538
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.04081081081081081,0.043243243243243246,0.03027027027027027,0.7417218543046358,17.1523178807947,0.0285054784514244,3.7043659043659045,0.9817654872599929
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.03637065637065637,0.0467953667953668,0.019073359073359074,0.5244161358811041,11.206582441683661,0.017371380867905965,2.004282956425814,0.9451421708308014
